               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.021661,            0.042539,           0.0063377,             0.98933,             0.98619,             0.99267,             0.86962,            0.012818,            0.026441,           0.0020759,           0.0031525,           0.0031525,           0.0031525
                  85,            0.021273,            0.042023,           0.0066063,             0.99107,             0.98381,              0.9926,             0.87082,            0.012604,            0.026336,           0.0020574,             0.00307,             0.00307,             0.00307
                  86,            0.021583,            0.042125,           0.0063204,             0.99042,             0.98524,             0.99272,             0.87138,            0.012518,            0.026275,           0.0020816,           0.0029875,           0.0029875,           0.0029875
                  87,             0.02121,            0.041678,           0.0061151,             0.98998,             0.98483,             0.99265,             0.87144,            0.012678,            0.026299,           0.0020354,            0.002905,            0.002905,            0.002905
                  88,            0.021046,            0.041423,           0.0064553,             0.99008,             0.98443,             0.99273,              0.8709,            0.012593,            0.026122,           0.0020282,           0.0028225,           0.0028225,           0.0028225
                  89,            0.020917,            0.040998,           0.0061296,             0.98941,             0.98459,             0.99254,             0.87355,            0.012491,            0.026151,           0.0019578,             0.00274,             0.00274,             0.00274
                  90,            0.021199,            0.041671,           0.0061122,             0.99241,             0.98482,             0.99289,             0.87433,            0.012475,            0.025982,           0.0019625,           0.0026575,           0.0026575,           0.0026575
                  91,            0.020852,            0.041168,           0.0060558,             0.99218,             0.98453,             0.99289,             0.87442,            0.012409,            0.025908,           0.0018826,            0.002575,            0.002575,            0.002575
                  92,            0.020654,            0.041206,           0.0060313,             0.99056,             0.98443,              0.9928,             0.87755,            0.012309,            0.025881,           0.0018948,           0.0024925,           0.0024925,           0.0024925
                  93,            0.020851,            0.041312,           0.0060691,             0.99119,             0.98461,             0.99285,             0.87657,            0.012344,            0.026109,           0.0018525,             0.00241,             0.00241,             0.00241
                  94,             0.02014,            0.040499,           0.0057307,             0.99301,              0.9855,             0.99295,             0.87725,            0.012202,            0.025697,           0.0018224,           0.0023275,           0.0023275,           0.0023275
                  95,            0.020509,            0.040527,           0.0059548,             0.99065,             0.98574,             0.99287,             0.87639,            0.012266,            0.025752,           0.0018391,            0.002245,            0.002245,            0.002245
                  96,            0.020148,            0.040483,           0.0058229,             0.99118,             0.98533,             0.99292,             0.87696,            0.012255,             0.02592,           0.0018202,           0.0021625,           0.0021625,           0.0021625
                  97,            0.020133,            0.040314,           0.0058524,             0.99215,             0.98594,             0.99285,             0.87781,            0.012172,            0.025874,           0.0018004,             0.00208,             0.00208,             0.00208
                  98,            0.020229,            0.040195,           0.0058295,             0.99156,             0.98575,             0.99294,             0.87992,            0.012099,            0.025522,           0.0017661,           0.0019975,           0.0019975,           0.0019975
                  99,            0.020042,            0.039644,           0.0058068,             0.99192,             0.98585,              0.9929,             0.88009,            0.012059,            0.025543,           0.0017407,            0.001915,            0.001915,            0.001915
                 100,            0.019845,            0.039755,             0.00564,             0.99014,             0.98616,             0.99289,             0.87798,            0.012055,             0.02567,           0.0017222,           0.0018325,           0.0018325,           0.0018325
                 101,            0.020112,            0.040027,           0.0056871,             0.99298,             0.98655,             0.99303,             0.88054,            0.011916,            0.025428,           0.0016775,             0.00175,             0.00175,             0.00175
                 102,            0.019762,            0.039619,           0.0055217,             0.99207,             0.98762,             0.99299,             0.88072,            0.011967,            0.025457,            0.001665,           0.0016675,           0.0016675,           0.0016675
                 103,            0.019757,            0.039723,           0.0056118,             0.99243,              0.9854,             0.99299,             0.88139,            0.011943,            0.025503,            0.001653,            0.001585,            0.001585,            0.001585
                 104,            0.019517,            0.039034,           0.0055089,             0.99181,             0.98676,              0.9933,             0.88215,            0.011905,            0.025342,            0.001636,           0.0015025,           0.0015025,           0.0015025
                 105,            0.019528,            0.039356,           0.0056189,             0.99252,             0.98667,             0.99301,             0.88037,             0.01193,            0.025451,           0.0016318,             0.00142,             0.00142,             0.00142
                 106,            0.019202,            0.038605,           0.0053932,               0.993,             0.98583,             0.99302,             0.88195,            0.011842,            0.025348,           0.0016131,           0.0013375,           0.0013375,           0.0013375
                 107,            0.019182,            0.038936,           0.0052743,             0.99233,             0.98662,               0.993,             0.88454,            0.011773,            0.025181,           0.0015875,            0.001255,            0.001255,            0.001255
                 108,            0.019212,            0.038446,           0.0053205,             0.99273,             0.98734,             0.99321,             0.88339,            0.011798,            0.025246,            0.001581,           0.0011725,           0.0011725,           0.0011725
                 109,            0.019283,            0.039646,           0.0054239,             0.99232,              0.9862,             0.99306,             0.88444,            0.011741,             0.02512,           0.0015872,             0.00109,             0.00109,             0.00109
                 110,            0.018732,            0.038372,           0.0051854,             0.99291,             0.98659,             0.99297,             0.88568,             0.01172,            0.025099,           0.0015532,           0.0010075,           0.0010075,           0.0010075
                 111,             0.01899,            0.038846,            0.005279,              0.9924,              0.9867,             0.99299,             0.88502,            0.011791,            0.025159,           0.0015403,            0.000925,            0.000925,            0.000925
                 112,             0.01888,            0.038272,           0.0052724,              0.9932,             0.98673,             0.99307,             0.88567,            0.011714,            0.025064,           0.0015408,           0.0008425,           0.0008425,           0.0008425
                 113,            0.018929,            0.038685,           0.0055407,             0.99352,             0.98645,             0.99309,               0.885,            0.011654,            0.025065,           0.0015432,             0.00076,             0.00076,             0.00076
                 114,            0.018669,            0.038604,           0.0051141,             0.99293,             0.98719,             0.99303,             0.88624,            0.011651,            0.024975,           0.0015262,           0.0006775,           0.0006775,           0.0006775
                 115,            0.018452,            0.037719,           0.0050379,             0.99351,             0.98713,             0.99334,             0.88745,            0.011627,            0.024994,           0.0015096,            0.000595,            0.000595,            0.000595
                 116,            0.018233,             0.03777,           0.0049545,             0.99338,             0.98631,             0.99301,             0.88746,            0.011611,             0.02496,           0.0015031,           0.0005125,           0.0005125,           0.0005125
                 117,            0.018564,             0.03849,           0.0051663,             0.99306,             0.98596,             0.99304,             0.88808,            0.011582,            0.024929,           0.0014966,             0.00043,             0.00043,             0.00043
                 118,            0.018578,            0.038477,           0.0051623,             0.99292,              0.9857,             0.99331,             0.88778,            0.011572,            0.024905,           0.0015082,           0.0003475,           0.0003475,           0.0003475
                 119,            0.018319,            0.038039,           0.0050255,              0.9924,             0.98623,             0.99306,             0.88777,             0.01155,            0.024864,           0.0014973,            0.000265,            0.000265,            0.000265
